tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000,cust_85c296fd,True,Sat Mar 30 03:53:00 +0000 2024,Where is my order #770487? It's been 5 days.,1001,
1001,AmazonHelp,False,Sat Mar 30 04:23:00 +0000 2024,"We understand the wait is frustrating. Your order 770487 is currently in transit, expected within 2 business days.",,1000
1002,cust_22afe555,True,Fri Aug 02 23:48:00 +0000 2024,My package for order 246316 says it shipped but tracking is stuck.,1003,
1003,AmazonHelp,False,Sat Aug 03 00:44:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track246316. We're looking into the delay with the carrier.",,1002
1004,cust_fe010b5b,True,Mon Mar 25 17:01:00 +0000 2024,Where is my order #133326? It's been 5 days.,1005,
1005,AmazonHelp,False,Mon Mar 25 18:07:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track133326. We're looking into the delay with the carrier.",,1004
1006,cust_4e85b111,True,Tue Sep 17 16:40:00 +0000 2024,My package for order 731262 says it shipped but tracking is stuck.,1007,
1007,AmazonHelp,False,Tue Sep 17 18:05:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track731262. We're looking into the delay with the carrier.",,1006
1008,cust_e8cf6127,True,Fri Aug 02 13:04:00 +0000 2024,Where is my order #835392? It's been 5 days.,1009,
1009,AmazonHelp,False,Fri Aug 02 13:41:00 +0000 2024,"We understand the wait is frustrating. Your order 835392 is currently in transit, expected within 2 business days.",,1008
1010,cust_cff45173,True,Fri May 03 21:09:00 +0000 2024,Where is my order #948749? It's been 5 days.,1011,
1011,AmazonHelp,False,Fri May 03 21:46:00 +0000 2024,"We understand the wait is frustrating. Your order 948749 is currently in transit, expected within 2 business days.",,1010
1012,cust_88a78ab1,True,Sat Feb 03 18:25:00 +0000 2024,Hey @AmazonHelp any update on order 263032? Tracking hasn't moved.,1013,
1013,AmazonHelp,False,Sat Feb 03 19:15:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track263032. We're looking into the delay with the carrier.",,1012
1014,cust_964d53ca,True,Sun Oct 20 20:47:00 +0000 2024,Hey @AmazonHelp any update on order 201414? Tracking hasn't moved.,1015,
1015,AmazonHelp,False,Sun Oct 20 20:54:00 +0000 2024,"We understand the wait is frustrating. Your order 201414 is currently in transit, expected within 2 business days.",,1014
1016,cust_70a423b9,True,Sun Dec 01 19:08:00 +0000 2024,My package for order 865179 says it shipped but tracking is stuck.,1017,
1017,AmazonHelp,False,Sun Dec 01 19:58:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track865179. We're looking into the delay with the carrier.",,1016
1018,cust_de88daa8,True,Mon Jul 29 04:58:00 +0000 2024,My package for order 182627 says it shipped but tracking is stuck.,1019,
1019,AmazonHelp,False,Mon Jul 29 05:24:00 +0000 2024,"We understand the wait is frustrating. Your order 182627 is currently in transit, expected within 2 business days.",,1018
1020,cust_27a77950,True,Tue Oct 08 11:10:00 +0000 2024,Where is my order #838797? It's been 5 days.,1021,
1021,AmazonHelp,False,Tue Oct 08 11:49:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track838797. We're looking into the delay with the carrier.",,1020
1022,cust_75f09b36,True,Thu Apr 11 04:58:00 +0000 2024,Where is my order #183667? It's been 5 days.,1023,
1023,AmazonHelp,False,Thu Apr 11 05:58:00 +0000 2024,"We understand the wait is frustrating. Your order 183667 is currently in transit, expected within 2 business days.",,1022
1024,cust_7dc61ec1,True,Thu May 09 08:24:00 +0000 2024,Where is my order #766563? It's been 5 days.,1025,
1025,AmazonHelp,False,Thu May 09 08:52:00 +0000 2024,"We understand the wait is frustrating. Your order 766563 is currently in transit, expected within 2 business days.",,1024
1026,cust_1a6b4d86,True,Fri Aug 09 18:40:00 +0000 2024,My package for order 802729 says it shipped but tracking is stuck.,1027,
1027,AmazonHelp,False,Fri Aug 09 20:03:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track802729. We're looking into the delay with the carrier.",,1026
1028,cust_cd2a7308,True,Sat May 18 03:43:00 +0000 2024,Where is my order #279451? It's been 5 days.,1029,
1029,AmazonHelp,False,Sat May 18 04:19:00 +0000 2024,"We understand the wait is frustrating. Your order 279451 is currently in transit, expected within 2 business days.",,1028
1030,cust_16fc904c,True,Sat Nov 02 20:57:00 +0000 2024,My package for order 771088 says it shipped but tracking is stuck.,1031,
1031,AmazonHelp,False,Sat Nov 02 22:37:00 +0000 2024,"We understand the wait is frustrating. Your order 771088 is currently in transit, expected within 2 business days.",,1030
1032,cust_10a964a2,True,Sun Oct 20 02:35:00 +0000 2024,Where is my order #913694? It's been 5 days.,1033,
1033,AmazonHelp,False,Sun Oct 20 03:17:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track913694. We're looking into the delay with the carrier.",,1032
1034,cust_8e228fc9,True,Thu Nov 28 11:06:00 +0000 2024,Where is my order #520651? It's been 5 days.,1035,
1035,AmazonHelp,False,Thu Nov 28 12:20:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track520651. We're looking into the delay with the carrier.",,1034
1036,cust_7126f7e2,True,Fri May 24 01:05:00 +0000 2024,Where is my order #852787? It's been 5 days.,1037,
1037,AmazonHelp,False,Fri May 24 03:00:00 +0000 2024,"We understand the wait is frustrating. Your order 852787 is currently in transit, expected within 2 business days.",,1036
1038,cust_d38a75c4,True,Tue Feb 20 20:06:00 +0000 2024,Where is my order #774079? It's been 5 days.,1039,
1039,AmazonHelp,False,Tue Feb 20 20:39:00 +0000 2024,"We understand the wait is frustrating. Your order 774079 is currently in transit, expected within 2 business days.",,1038
1040,cust_8b64a983,True,Fri Nov 22 21:17:00 +0000 2024,My package for order 881177 says it shipped but tracking is stuck.,1041,
1041,AmazonHelp,False,Fri Nov 22 22:33:00 +0000 2024,"We understand the wait is frustrating. Your order 881177 is currently in transit, expected within 2 business days.",,1040
1042,cust_776016ec,True,Thu Jul 04 12:18:00 +0000 2024,Where is my order #518801? It's been 5 days.,1043,
1043,AmazonHelp,False,Thu Jul 04 13:23:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track518801. We're looking into the delay with the carrier.",,1042
1044,cust_4eaeccd3,True,Fri Aug 16 10:42:00 +0000 2024,Where is my order #195325? It's been 5 days.,1045,
1045,AmazonHelp,False,Fri Aug 16 11:04:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track195325. We're looking into the delay with the carrier.",,1044
1046,cust_20095819,True,Mon May 20 02:08:00 +0000 2024,My package for order 930555 says it shipped but tracking is stuck.,1047,
1047,AmazonHelp,False,Mon May 20 02:58:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track930555. We're looking into the delay with the carrier.",,1046
1048,cust_4d00ddb0,True,Sat Jul 20 10:09:00 +0000 2024,My package for order 724834 says it shipped but tracking is stuck.,1049,
1049,AmazonHelp,False,Sat Jul 20 12:01:00 +0000 2024,"We understand the wait is frustrating. Your order 724834 is currently in transit, expected within 2 business days.",,1048
1050,cust_352a8575,True,Sun Oct 06 20:07:00 +0000 2024,My package for order 112038 says it shipped but tracking is stuck.,1051,
1051,AmazonHelp,False,Sun Oct 06 21:31:00 +0000 2024,"We understand the wait is frustrating. Your order 112038 is currently in transit, expected within 2 business days.",,1050
1052,cust_10e7d924,True,Tue Feb 27 14:00:00 +0000 2024,Hey @AmazonHelp any update on order 456699? Tracking hasn't moved.,1053,
1053,AmazonHelp,False,Tue Feb 27 15:00:00 +0000 2024,"We understand the wait is frustrating. Your order 456699 is currently in transit, expected within 2 business days.",,1052
1054,cust_fe90106c,True,Wed Jul 03 20:11:00 +0000 2024,My package for order 103402 says it shipped but tracking is stuck.,1055,
1055,AmazonHelp,False,Wed Jul 03 22:09:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track103402. We're looking into the delay with the carrier.",,1054
1056,cust_450f99c8,True,Sun Feb 25 15:31:00 +0000 2024,My package for order 211579 says it shipped but tracking is stuck.,1057,
1057,AmazonHelp,False,Sun Feb 25 16:20:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track211579. We're looking into the delay with the carrier.",,1056
1058,cust_2b5bdba6,True,Tue Aug 06 01:39:00 +0000 2024,My package for order 899550 says it shipped but tracking is stuck.,1059,
1059,AmazonHelp,False,Tue Aug 06 02:22:00 +0000 2024,"Hi, sorry for the delay! Please check your tracking link here: amzn.to/track899550. We're looking into the delay with the carrier.",,1058
1060,cust_ff4db568,True,Fri Nov 15 22:23:00 +0000 2024,Where is my order #612340? It's been 5 days.,1061,
1061,AmazonHelp,False,Sat Nov 16 00:11:00 +0000 2024,"We understand the wait is frustrating. Your order 612340 is currently in transit, expected within 2 business days.",,1060
